param,window,estimators,AnomalyRate,samples_seen_AnomalyRate,SADWIN,samples_seen_SADWIN,PADWIN,samples_seen_PADWIN,NDKSWIN,samples_seen_NDKSWIN
result_Number0_for_WS50_NE5updated_count.csv,50,5,,,,,,,,
,,,1,50,0,50,0,50,0,50
,,,1,100,1,100,0,100,0,100
,,,1,150,0,150,0,150,1,150
,,,1,200,0,200,0,200,1,200
,,,1,250,0,250,0,250,1,250
,,,1,300,0,300,0,300,1,300
,,,1,350,0,350,0,350,1,350
,,,1,400,0,400,0,400,1,400
,,,1,450,0,450,0,450,1,450
,,,1,500,0,500,0,500,1,500
,,,1,550,0,550,0,550,1,550
,,,1,600,0,600,0,600,1,600
,,,1,650,0,650,0,650,1,650
,,,1,700,0,700,0,700,1,700
,,,1,750,0,750,0,750,1,750
,,,1,800,0,800,0,800,1,800
,,,1,850,0,850,0,850,1,850
,,,1,900,0,900,0,900,1,900
,,,1,950,0,950,0,950,1,950
